年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,TV放送,id
2016,Ｊ２,第１６節第１日,06/04(土),14:04,山形,0-0,横浜FC,ＮＤスタ,6,659,スカパー！／スカパー！プレミアムサービス／山形テレビ,18368
2016,Ｊ２,第１６節第１日,06/04(土),15:03,松本,2-1,北九州,松本,11,140,スカパー！／スカパー！プレミアムサービス／テレビ信州,18369
2016,Ｊ２,第１６節第１日,06/04(土),16:03,水戸,0-0,清水,Ｋｓスタ,8,827,スカパー！／スカパー！プレミアムサービス,18370
2016,Ｊ２,第１６節第１日,06/04(土),16:03,町田,1-0,徳島,町田,4,021,スカパー！／スカパー！プレミアムサービス,18371
2016,Ｊ２,第１６節第１日,06/04(土),16:04,Ｃ大阪,2-3,讃岐,ヤンマー,18,002,スカパー！／スカパー！プレミアムサービス,18372
2016,Ｊ２,第１６節第１日,06/04(土),18:03,金沢,1-1,京都,石川西部,3,069,スカパー！／スカパー！プレミアムサービス,18373
2016,Ｊ２,第１６節第１日,06/04(土),19:03,札幌,2-2,千葉,札幌ド,11,937,スカパー！／スカパー！プレミアムサービス／テレビ北海道,18374
2016,Ｊ２,第１６節第１日,06/04(土),19:34,群馬,1-2,愛媛,正田スタ,4,085,スカパー！／スカパー！プレミアムサービス／群馬テレビ,18375
2016,Ｊ２,第１７節第１日,06/08(水),19:03,町田,1-2,清水,町田,6,171,スカパー！／スカパー！プレミアムサービス,18378
2016,Ｊ２,第１７節第１日,06/08(水),19:03,熊本,5-2,金沢,ベアスタ,2,638,スカパー！／スカパー！プレミアムサービス,18386
2016,Ｊ２,第１７節第１日,06/08(水),19:03,讃岐,1-3,京都,ピカスタ,2,153,スカパー！／スカパー！プレミアムサービス,18382
2016,Ｊ２,第１７節第１日,06/08(水),19:03,長崎,1-2,Ｃ大阪,長崎県立,6,342,スカパー！／スカパー！プレミアムサービス,18385
2016,Ｊ２,第１７節第１日,06/08(水),19:03,千葉,3-0,山形,フクアリ,7,684,スカパー！／スカパー！プレミアムサービス,18376
2016,Ｊ２,第１７節第１日,06/08(水),19:03,北九州,0-3,群馬,本城,2,115,スカパー！／スカパー！プレミアムサービス,18384
2016,Ｊ２,第１７節第１日,06/08(水),19:03,東京Ｖ,1-1,岐阜,味フィ西,3,120,スカパー！／スカパー！プレミアムサービス,18377
2016,Ｊ２,第１７節第１日,06/08(水),19:03,横浜FC,1-1,水戸,ニッパツ,2,077,スカパー！／スカパー！プレミアムサービス,18379
2016,Ｊ２,第１７節第１日,06/08(水),19:03,松本,3-2,札幌,松本,10,796,スカパー！／スカパー！プレミアムサービス,18380
